LandProvince;SeaZone;x;y
asheda;peril_sea;7251;5883;x
east_edess;edess_lagoon;9103;5889;x
longshore;elder_lake;9154;5876;x
lenns;elder_lake;9184;5894;x
tall_isle;upper_katlas;7014;5898;x
muang_rung;emean_gulf;12299;5877;x
mor_fil_ussauex;coast_of_dales;8981;5885;x
beuhvinne;coast_of_dales;9035;5869;x
pretchetabri;emean_gulf;12215;5896;x
kurn_and_solk;awk_sea;7081;5869;x
nong_suk;north_palatial_coast;11472;5852;x
nillland;coast_of_dales;8958;5866;x
kolochnach;elder_lake;9182;5855;x
arimire;coast_of_gales;9247;5858;x
firn;kestern_waters;7136;5845;x
dordranach;coast_of_yworr;9075;5811;x
vielle;coast_of_gales;9238;5834;x
three_moons;awk_sea;6982;5833;x
schrenstonn;tanne_bay;8946;5837;x
kampe_island;kampe_banks;6863;5828;x
gwageh;kestern_waters;7235;5824;x
shempet;kestern_waters;7186;5827;x
durnshore;tanne_bay;8939;5814;x
wiehen;kestern_waters;7118;5798;x
yeotown;coast_of_yworr;9113;5810;x
kho_khim;monkey_shores;12303;5753;x
korn_islets;awk_sea;7014;5801;x
chalas;south_palatial_coast;11417;5754;x
iwenwi;kestern_waters;7237;5781;x
gales;coast_of_gales;9213;5763;x
tanne_mouth;tanne_bay;8929;5793;x
fawlok;awk_sea;7040;5784;x
old_vielle;coast_of_yworr;9144;5767;x
stone_isle;tanne_bay;8959;5779;x
old_catter;tanne_bay;8946;5773;x
catter;redwayne_coast;8962;5743;x
furlow;kestern_waters;7134;5750;x
deyodoke;kestern_waters;7236;5740;x
wolfs_tail;little_wolf_lake;7468;5750;x
kiwa;little_wolf_lake;7490;5738;x
tenida;little_wolf_lake;7467;5724;x
ewl;katlas_sea;6926;5680;x
upper_winds;awk_sea;7032;5724;x
takak;little_wolf_lake;7523;5740;x
apio_sado;great_wolf_lake;7550;5691;x
iksoko;great_wolf_lake;7572;5730;x
wayne_coast;redwayne_coast;8950;5713;x
degan_coast;kestern_waters;7218;5707;x
htawa;little_wolf_lake;7488;5711;x
nitsino;great_wolf_lake;7593;5701;x
lower_winds;cape_of_the_western_wind;7069;5673;x
inata_sado;great_wolf_lake;7472;5654;x
kampung_poi;monkey_shores;12341;5648;x
tsia_sado;little_wolf_lake;7451;5698;x
avinor;redwayne_coast;8939;5683;x
buenthai;south_palatial_coast;11462;5659;x
nowistisi;great_wolf_lake;7606;5657;x
magohes;cape_of_the_western_wind;7167;5653;x
anipi;great_wolf_lake;7522;5674;x
redshore;redwayne_coast;8934;5651;x
peyakene;great_wolf_lake;7571;5653;x
nomar_keys;kawn_sea;7030;5618;x
nemesemeh;great_wolf_lake;7486;5645;x
kaganishwa;great_wolf_lake;7550;5626;x
nemaeyou;great_wolf_lake;7608;5628;x
wetasgoost;great_wolf_lake;7471;5626;x
sinakliit;lake_wouwaga;7445;5584;x
nonkok;south_palatial_coast;11505;5603;x
ilame_dega;aak_coast;7222;5606;x
averas;itiran_coast;8936;5619;x
shanti;great_wolf_lake;7587;5615;x
mercant_square;itiran_coast;8939;5607;x
wanipi;spring_lake;7550;5578;x
bataphoan;monkey_shores;12399;5578;x
iltierre;itiran_coast;8952;5593;x
kopi;aak_coast;7252;5559;x
mapo;lake_wouwaga;7423;5580;x
phitsum;south_palatial_coast;11561;5569;x
springside;spring_lake;7543;5573;x
tradewatch;itiran_coast;8965;5568;x
weyo;lake_wouwaga;7459;5574;x
sorrolok;aak_coast;7157;5568;x
shinpah;lake_wouwaga;7430;5564;x
kawn;kawn_sea;7013;5562;x
aksew;spring_lake;7561;5557;x
element;itiran_coast;8973;5544;x
aaksi;aak_coast;7299;5540;x
chainag;south_palatial_coast;11588;5498;x
lingahear;monkey_shores;12437;5513;x
ochane;spring_lake;7550;5541;x
moton;harbour_coast;7339;5513;x
valdan;itiran_coast;9003;5522;x
remk;little_wave_sea;7071;5494;x
vienmarat;south_palatial_coast;11528;5483;x
nesao;coast_of_lenatis;9029;5495;x
haan;harbour_coast;7327;5490;x
ganymera;coast_of_lenatis;9046;5470;x
nakham;south_palatial_coast;11609;5453;x
kampung_at;monkey_shores;12441;5429;x
kokpi;harbour_coast;7347;5451;x
raoho;coast_of_lenatis;9048;5434;x
lau;lake_kaneth;8683;5440;x
silium;lake_kaneth;8674;5446;x
vrixia;lake_kaneth;8671;5429;x
sukotab;south_palatial_coast;11521;5427;x
elim_avarice;harbour_coast;7365;5416;x
gilden;lake_kaneth;8694;5424;x
shyril;lake_kaneth;8686;5410;x
agria;coast_of_lenatis;9056;5399;x
tosa;lake_kaneth;8668;5410;x
headen;harbour_coast;7283;5405;x
kampen;little_wave_sea;7217;5400;x
quanglo;south_palatial_coast;11487;5372;x
dawnhill;little_wave_sea;7145;5395;x
shelterpoint;upper_whale_bay;7323;5368;x
ha_giang;monkey_shores;12387;5365;x
bran;upper_whale_bay;7385;5365;x
opontao;bay_of_thel;9038;5366;x
melra;saphire_lake;8298;5367;x
vallreix;saphire_lake;8306;5354;x
nalanos;saphire_lake;8275;5353;x
eastmarsh;bay_of_thel;9014;5330;x
upper_trovan_coast;upper_whale_bay;7413;5321;x
belter;styre_coast;7184;5337;x
celoni;saphire_lake;8258;5328;x
bainth;upper_whale_bay;7283;5328;x
hung_bao;monkey_shores;12348;5325;x
eastshore;saphire_lake;8294;5313;x
trabao;south_palatial_coast;11475;5306;x
waterport;gulf_of_dragons;7784;5335;x
upper_whale_isles;upper_whale_bay;7347;5310;x
brasten;gulf_of_dragons;7746;5324;x
gohan;gulf_of_dragons;7819;5331;x
scepter_isle;gulf_of_dragons;7803;5321;x
cove;upper_whale_bay;7279;5318;x
keel;styre_coast;7218;5309;x
aroxta;saphire_lake;8246;5303;x
thelis;bay_of_thel;8991;5298;x
bhakdawar;gulf_of_dragons;7870;5295;x
forge_habour;gulf_of_dragons;7725;5282;x
shanty_port;lower_whale_bay;7291;5283;x
binh_hoc;south_emean_coast;12287;5290;x
lower_whale_isles;lower_whale_bay;7318;5269;x
bivissa;saphire_lake;8245;5284;x
dian;south_emean_coast;12242;5272;x
uvorra;saphire_lake;8265;5280;x
mastic;bay_of_thel;8998;5276;x
chandipur;gulf_of_dragons;7862;5258;x
elim_fast;lower_whale_bay;7390;5260;x
duinbar;gulf_of_dragons;7702;5265;x
danui;otic_reefs;11465;5232;x
farak;stone_bay;7660;5264;x
movium;bay_of_thel;9014;5256;x
gicabao;south_emean_coast;12186;5225;x
stoneport;stone_bay;7623;5254;x
elvekken;gulf_of_dragons;7723;5253;x
bastahn;lower_sea_of_stars;9564;5226;x
ogre_isle;bay_of_thel;9036;5254;x
seagull_tower;broken_sea;7201;5225;x
waterhold;stone_bay;7663;5223;x
lower_trovan_coast;lower_whale_bay;7379;5217;x
highgull;west_broken_sea;7132;5192;x
south_border;stone_bay;7617;5214;x
hetwal;bagda_sea;7884;5220;x
quidrema;narcetian_coast;9010;5214;x
morana;narcetian_coast;9049;5202;x
east_maroon_isle;lower_whale_bay;7350;5205;x
birdcliffe;lower_sea_of_stars;9377;5200;x
west_maroon_isle;broken_sea;7302;5186;x
loan;capecian_sea;9292;5208;x
ghorama;bagda_sea;7877;5186;x
caldera;broken_sea;7225;5184;x
feltas;stone_bay;7574;5196;x
sobei;south_emean_coast;12141;5202;x
longnoi;otic_reefs;11525;5155;x
amdorra;capecian_sea;9328;5200;x
chi_binh;south_emean_coast;12120;5164;x
luckers_point;broken_sea;7328;5158;x
south_pirec;pirecan_coast;7561;5157;x
talin;narcetian_coast;8976;5183;x
atania;narcetian_coast;8958;5164;x
bharatunj;hammer_coast;7928;5170;x
phin_menh;otic_reefs;11605;5149;x
kavetwanchok;hammer_coast;7963;5157;x
zazara;narcetian_coast;8946;5142;x
argin;coast_of_briiya;8387;5133;x
brassroad;pirecan_coast;7508;5148;x
esar_coast;coast_of_briiya;8345;5136;x
tears_embrace;pirecan_coast;7477;5127;x
phin_cah;south_emean_coast;12042;5107;x
shant;jagged_straight;7337;5132;x
kaross;jagged_straight;7359;5129;x
odd_island;broken_sea;7212;5135;x
volarada;hammer_coast;7954;5108;x
inner_jags;jagged_straight;7393;5117;x
umbrino;sascilian_coast;8904;5117;x
port_oceanus;narcetian_coast;8953;5125;x
dread;jagged_straight;7419;5112;x
vauckland;jagged_straight;7330;5119;x
bestaras;maetian_delta;8303;5117;x
intxau;coast_of_briiya;8430;5116;x
xuye_minh;south_emean_coast;11807;5114;x
thonang;south_emean_coast;11963;5110;x
rattica;cothonian_coast;8475;5103;x
hava;maetian_delta;8283;5105;x
spiceport;jagged_straight;7411;5094;x
yosh;jagged_straight;7382;5094;x
ayriem;cothonian_coast;8680;5105;x
arbor;cothonian_coast;8707;5110;x
beonyma;sascilian_coast;8875;5106;x
kraz;east_broken_sea;7292;5065;x
middle_break;east_broken_sea;7343;5068;x
narsis;cothonian_coast;8731;5098;x
massari;sascilian_coast;8855;5094;x
song_noi;south_emean_coast;11884;5091;x
ejad_isle;narcetian_coast;9039;5092;x
qui_ca;otic_reefs;11649;5078;x
enia;maetian_delta;8257;5094;x
southwater;cothonian_coast;8513;5095;x
ochrum;cothonian_coast;8552;5085;x
puras;cothonian_coast;8648;5087;x
vilizia;sascilian_coast;8776;5093;x
varragone;maetian_delta;8238;5078;x
oltasia;sascilian_coast;8807;5085;x
dien_thao;south_emean_coast;11765;5060;x
myland;cothonian_coast;8598;5077;x
volost;maetian_delta;8146;5081;x
sadal;east_broken_sea;7403;5041;x
hammers_reach;maetian_delta;8102;5068;x
krivara;east_arman_sea;9456;5056;x
elona;maetian_delta;8195;5062;x
buo_phong;otic_reefs;11688;5005;x
dranit;arman_coast;8983;5026;x
ilshaf;arman_coast;9021;5007;x
setmar;arman_coast;9074;5001;x
ouan;lions_mouth;8939;4961;x
fourth_isle_;itholan_coast;8285;4976;x
beres;arman_coast;9114;4968;x
kingfisher_island;otic_reefs;11459;4946;x
koaramet;itholan_coast;8313;4958;x
utohn;matrean_coast;8226;4966;x
pheino;matrean_coast;8183;4965;x
tomia;itholan_coast;8265;4960;x
ashanktis;itholan_coast;8303;4932;x
ake_and_ilu;itholan_coast;8339;4928;x
greenbird_isle;north_bluethorn_sea;7577;4925;x
cifrat;arman_coast;9157;4930;x
ikythos;matrean_coast;8134;4944;x
atcross;ruined_sea;6924;4906;x
dcheskar;lions_mouth;8982;4920;x
natha_poto;aval_reef;8080;4905;x
hankao;north_bluethorn_sea;7658;4893;x
slimkar;lions_mouth;8920;4909;x
martain;lions_mouth;8974;4893;x
midwell;ruined_sea;6904;4882;x
makedama;itholan_coast;8300;4886;x
saftat;south_arman_coast;9186;4875;x
westward_shore;otic_reefs;11132;4859;x
afa_kolo;north_bluethorn_sea;7585;4866;x
delphik;itholan_coast;8294;4855;x
panajach;xitcon_sea;8070;4830;x
azkit;south_arman_coast;9198;4848;x
pitmedeyn;middle_finger_sea;6889;4825;x
guirt;lions_coast;8947;4832;x
upper_pheans;celayphean_sea;8307;4794;x
sonemata;north_bluethorn_sea;7676;4820;x
tria;celayphean_sea;8284;4806;x
kesban;south_arman_coast;9217;4800;x
kato_and_rang;sweltering_sea;10984;4768;x
lifel;lions_coast;8956;4795;x
reef;feteoalan_sea;7726;4787;x
jalqui;xitcon_sea;8069;4780;x
escuino;celayphean_sea;8273;4776;x
afa_hamliku;north_bluethorn_sea;7584;4773;x
havetoka;north_bluethorn_sea;7650;4770;x
azdra;lions_coast;8965;4753;x
halateiho;feteoalan_sea;7699;4761;x
afa_malano;xitcon_sea;7963;4756;x
saadha;south_arman_coast;9225;4761;x
jamo;xitcon_sea;8067;4755;x
quetzago;celayphean_sea;8271;4735;x
arnsbrugh;middle_finger_sea;6872;4717;x
motuptapu;feteoalan_sea;7670;4732;x
lower_pheans;celayphean_sea;8289;4710;x
an_madrin;south_arman_coast;9231;4727;x
wells;sweltering_sea;10992;4684;x
outer_reef_isles;otic_reefs;11250;4688;x
black_wilds;xitcon_sea;8024;4726;x
whitereef;flower_reefs;7520;4709;x
bluethorn;north_bluethorn_sea;7608;4730;x
tafateo;feteoalan_sea;7731;4711;x
tulas;lions_coast;8966;4706;x
unnamed_location_172;southern_letic;15752;4702;x
unnamed_location_181;lagana_straight;15598;4695;x
south_cliffs;otic_reefs;11125;4672;x
cod_isle;thumb_sea;7107;4700;x
nukulau;feteoalan_sea;7840;4716;x
duskshard;widows_straight;7033;4688;x
west_isle;flower_reefs;7579;4689;x
east_isle;south_bluethorn_sea;7630;4679;x
chimtitlo;celayphean_sea;8264;4689;x
unnamed_location_185;southern_letic;15830;4673;x
karwan;south_arman_coast;9243;4687;x
flamon;middle_finger_sea;6763;4681;x
starlight_hill;south_bluethorn_sea;7682;4672;x
trove_coast;adventurers_coast;8000;4661;x
zajj;lions_coast;8974;4664;x
wharftown;thumb_sea;7068;4659;x
longetempe;south_bluethorn_sea;7750;4636;x
unnamed_location_173;southern_letic;15756;4618;x
rockcliffe;middle_finger_sea;6843;4630;x
vaohau;flower_reefs;7494;4649;x
rainshore;south_bluethorn_sea;7628;4656;x
baimmah;south_arman_coast;9244;4646;x
natha_mavii;celayphean_sea;8265;4637;x
unnamed_location_186;southern_letic;15895;4639;x
billen;middle_finger_sea;6985;4624;x
nukulua;south_bluethorn_sea;7697;4639;x
endgate;hand_coast;6744;4621;x
nukum;flower_reefs;7579;4646;x
salaphya;celayphean_sea;8287;4622;x
dhamah;jhistal_coast;8972;4599;x
the_triplets;eastern_spice_gulf;8645;4626;x
tafaiu;flower_reefs;7534;4637;x
unnamed_location_180;lagana_straight;15507;4581;x
adventurers_bay;adventurers_coast;7998;4618;x
gruhsey;thumb_sea;7096;4605;x
afa_makaun;south_bluethorn_sea;7665;4615;x
unnamed_location_184;southern_letic;15759;4580;x
bidal;atwan_sandbanks;9254;4597;x
blight;thumb_sea;7046;4608;x
unnamed_location_187;southern_letic;15921;4594;x
volos;middle_finger_sea;6908;4591;x
tepeque;celayphean_sea;8261;4577;x
onswed;middle_finger_sea;6981;4585;x
vahlulu;south_bluethorn_sea;7685;4595;x
pirates_cove;middle_finger_sea;6814;4579;x
coveport;south_bluethorn_sea;7587;4578;x
shoal;middle_finger_sea;6940;4573;x
south_bay;adventurers_coast;7996;4562;x
safb;atwan_sandbanks;9254;4570;x
blackshore;hand_coast;6728;4550;x
khamra;jhistal_coast;8966;4563;x
unnamed_location_174;southern_letic;15711;4554;x
coral;south_bluethorn_sea;7652;4538;x
cradon;thumb_sea;7105;4549;x
valant;middle_finger_sea;6911;4550;x
rozaba;atwan_sandbanks;9283;4540;x
shelfe;hand_coast;6787;4521;x
unnamed_location_188;southern_letic;15923;4525;x
whangale;cape_of_good_fortune;10180;4552;x
yade;jhistal_coast;8959;4524;x
jutipo;calm_waters;8273;4493;x
cayd;cape_of_good_fortune;10264;4531;x
unnamed_location_183;southern_letic;15772;4523;x
grief;middle_finger_sea;6850;4528;x
ucham;dinar_coast;10093;4533;x
quizato;adventurers_coast;7996;4521;x
stetton;hand_coast;6742;4485;x
nor_urt;thumb_sea;7130;4527;x
vanbu;dinar_coast;10067;4511;x
uve;thumb_sea;7193;4521;x
unnamed_location_178;lagana_straight;15455;4474;x
cayn_coast;cape_of_good_fortune;10331;4495;x
unnamed_location_182;southern_letic;15736;4513;x
hism_daekal;karu_bay;9291;4492;x
dhismir;jhistal_coast;8979;4494;x
bagangovi;sea_of_the_landings;7329;4478;x
bayakhal;thumb_sea;7251;4502;x
zaltenan;adventurers_coast;7970;4469;x
qragos;dinar_coast;10031;4490;x
unnamed_location_189;southern_letic;15923;4469;x
nocturne;hand_coast;6751;4456;x
khard;hand_coast;6795;4474;x
jhistal;jhistal_coast;8966;4464;x
shatir;dinar_coast;9977;4467;x
artesh;karu_bay;9283;4448;x
natha_vagu;calm_waters;8262;4414;x
fonsuka;sea_of_the_landings;7550;4461;x
ulbaan;sea_of_the_landings;7359;4435;x
sheim;sahidan_shores;9896;4451;x
bajdehar;jhistal_coast;8931;4444;x
bravu;sweltering_sea;10560;4441;x
farbus;hand_coast;6704;4432;x
saelon;akavor_coast;10329;4430;x
akapos;sahidan_shores;9859;4420;x
unnamed_location_190;southern_letic;15964;4403;x
hism_alsharq;sahidan_shores;9676;4415;x
serahal;horse_bay;7920;4404;x
jarbun;karu_bay;9375;4415;x
unnamed_location_175;lagana_straight;15676;4399;x
harpys_rest;bahdak_bay;9467;4383;x
jefhar;karu_bay;9272;4392;x
baka_rapi;sahidan_shores;9735;4413;x
jhat;jhistal_coast;8905;4387;x
delat;south_bahdakuri_sea;9554;4405;x
jazar;south_bahdakuri_sea;9603;4410;x
arinah;sahidan_shores;9812;4412;x
unnamed_location_195;lagana_straight;15696;4401;x
antenpe;akavor_coast;10338;4380;x
mahbrin;bahdak_bay;9491;4382;x
haisah;south_bahdakuri_sea;9640;4409;x
unnamed_location_176;lagana_straight;15504;4377;x
darkov;sea_of_the_landings;7424;4402;x
qudsay;karu_bay;9326;4376;x
unnamed_location_194;lagana_straight;15670;4338;x
tain_on_the_wes;hand_coast;6694;4359;x
koyten;horse_bay;7869;4367;x
unnamed_location_177;lagana_straight;15615;4354;x
govisum;sea_of_the_landings;7573;4376;x
unnamed_location_244;north_perlean_sea;15092;4328;x
ohtor;han_sea;7073;4340;x
borom;han_sea;7132;4355;x
khentol;sea_of_the_landings;7497;4367;x
mahal;east_sugar_coast;8280;4328;x
tadqan;bahdak_bay;9438;4355;x
yemenkaru;karu_bay;9289;4357;x
atash;west_sugar_coast;8843;4323;x
malenkaru;karu_bay;9307;4358;x
duqala;bahdak_bay;9510;4341;x
north_antil;akavor_coast;10321;4321;x
ulimod;horse_bay;7654;4336;x
mandkhorin;han_sea;7236;4325;x
deydi;horse_bay;7821;4346;x
haidun_cliffs;horse_bay;7757;4333;x
atal;bahdak_bay;9429;4329;x
unnamed_location_191;perlean_coast;15939;4255;x
kingcley;north_green_sea;6706;4303;x
sukhdaan;horse_bay;7694;4330;x
sayad;sweltering_sea;11049;4308;x
bidca;bahdak_bay;9525;4300;x
govdan;han_sea;7307;4315;x
eshurbi;bahdak_bay;9423;4298;x
ban_balqoto;han_sea;7081;4264;x
daham;han_sea;7324;4290;x
ashabat;east_sugar_coast;8310;4269;x
an_mostar;west_sugar_coast;8809;4293;x
longshore_isle;sweltering_sea;10915;4266;x
south_antil;akavor_coast;10305;4245;x
tagol;bahdak_bay;9429;4255;x
nanton;handan_coast;6786;4265;x
basjah;west_sugar_coast;8757;4259;x
masis_khas;bahdak_bay;9532;4259;x
unnamed_location_193;lagana_straight;15724;4234;x
unnamed_location_243;north_perlean_sea;14960;4198;x
bayados;han_sea;7319;4233;x
babith;east_sugar_coast;8362;4245;x
saiwi;bahdak_bay;9542;4223;x
hism_ghar;east_sugar_coast;8429;4239;x
khom;handan_coast;6838;4211;x
lorvos;sweltering_sea;11013;4192;x
hadran;west_sugar_coast;8696;4232;x
unnamed_location_245;lagana_straight;15238;4204;x
agayib;bahdak_bay;9422;4206;x
baija;east_sugar_coast;8483;4210;x
dadorn;akavor_coast;10277;4201;x
halaqim;west_sugar_coast;8635;4211;x
korya;han_sea;7077;4195;x
unnamed_location_192;perlean_coast;15854;4172;x
an_sharyil;east_sugar_coast;8527;4200;x
prelash;han_sea;7302;4175;x
qaim;west_sugar_coast;8590;4197;x
rustas;bahdak_bay;9538;4177;x
unnamed_location_247;lagana_straight;15423;4169;x
unnamed_location_246;lagana_straight;15325;4176;x
lheyse;han_sea;7125;4171;x
qalar;bahdak_bay;9422;4168;x
darkhatar;handan_coast;6876;4143;x
ghaz;upper_hran_coast;10250;4144;x
ratkaresh;bahdak_bay;9492;4168;x
unnamed_location_249;lagana_straight;15564;4141;x
mudhra;bahdak_bay;9449;4156;x
doth_khasul;han_sea;7169;4136;x
hygor;north_astrean_sea;11814;4075;x
khaleesh_predan;han_sea;7274;4118;x
takh;upper_hran_coast;10200;4101;x
kukaatar;han_sea;7214;4114;x
erdaat;handan_coast;6932;4077;x
unnamed_location_242;north_perlean_sea;15002;4095;x
north_liss;upper_hran_coast;10325;4056;x
bahakot;astrean_coast;11522;4050;x
joliput;north_astrean_sea;11619;4090;x
west_liss;upper_hran_coast;10223;4065;x
unnamed_location_250;lagana_straight;15718;4029;x
nangar;upper_hran_coast;10182;4058;x
unnamed_location_241;north_perlean_sea;14888;4007;x
jhanput;north_astrean_sea;11697;4033;x
terat;upper_hran_coast;10161;4020;x
selegon;handan_coast;6966;4013;x
sialput;astrean_coast;11625;4012;x
unnamed_location_198;perlean_coast;16182;4009;x
kaliss;upper_hran_coast;10263;4003;x
ban_altu;handan_coast;6972;3975;x
shad;upper_hran_coast;10146;3981;x
faisa;astrean_coast;11685;3967;x
farbul;lower_hran_coast;10144;3927;x
sharkhol;grey_sea;7046;3917;x
unnamed_location_251;perlean_coast;15852;3882;x
unnamed_location_239;north_perlean_sea;14759;3939;x
unnamed_location_211;pearl_bay;15483;3926;x
unnamed_location_210;pearl_bay;15519;3900;x
altanchun;handan_coast;6851;3912;x
unnamed_location_212;pearl_bay;15403;3891;x
minfiz;north_astrean_sea;12082;3926;x
thattalput;north_astrean_sea;11951;3905;x
kaapo;north_astrean_sea;12171;3895;x
aleik;lower_hran_coast;10114;3878;x
astebe;southern_still_sea;12344;3887;x
angai;grey_sea;7107;3864;x
kaipina;north_astrean_sea;12254;3887;x
charsak;north_astrean_sea;11912;3882;x
entli_isles;grey_sea;6850;3839;x
unnamed_location_213;pearl_bay;15311;3869;x
unnamed_location_208;pearl_bay;15641;3883;x
unnamed_location_214;pearl_bay;15227;3822;x
dorkhaat;grey_sea;6899;3865;x
jeritomo;southern_still_sea;12405;3878;x
unnamed_location_207;pearl_bay;15717;3831;x
unnamed_location_209;pearl_bay;15600;3850;x
mitarah;lower_hran_coast;10229;3855;x
barshan;lower_hran_coast;10085;3843;x
juiro;southern_still_sea;12475;3862;x
unnamed_location_235;west_perlean_sea;14594;3773;x
balput;north_astrean_sea;11912;3850;x
unnamed_location_216;pearl_bay;15009;3795;x
unnamed_location_217;pearl_bay;14981;3807;x
unnamed_location_199;perlean_coast;16224;3806;x
kaijara;southern_still_sea;12526;3829;x
unnamed_location_215;pearl_bay;15107;3799;x
atacaz;southern_still_sea;12599;3817;x
glitan;grey_sea;7141;3783;x
andahar;lower_hran_coast;10073;3785;x
unnamed_location_206;perlean_coast;15899;3728;x
khukot;astrean_coast;11870;3763;x
waitiri;southern_still_sea;12684;3782;x
north_spice_banks;astrean_coast;10979;3654;x
jascay;southern_still_sea;12770;3727;x
unnamed_location_218;pearl_bay;14930;3755;x
north_zilah;lower_hran_coast;10062;3741;x
unnamed_location_220;pearl_bay;14924;3685;x
diddidin;western_coast;7218;3683;x
mirshera;astrean_coast;11862;3655;x
south_zilah;fayu_coast;10046;3674;x
unnamed_location_234;west_perlean_sea;14654;3642;x
unnamed_location_205;perlean_coast;15835;3573;x
unnamed_location_200;perlean_coast;16223;3632;x
temino;astrean_sea;12765;3625;x
amila;fayu_coast;10001;3613;x
korrewaling;western_coast;7246;3618;x
sasuput;astrean_coast;11894;3612;x
natjeri;astrean_sea;12728;3596;x
dune;dune_lake;9528;3609;x
unnamed_location_221;pearl_bay;15000;3543;x
balabagee;western_coast;7272;3570;x
southrock;dune_lake;9530;3586;x
nuzhain;fayu_coast;9953;3574;x
west_spice_island;spice_banks;10697;3530;x
bhadhral;astrean_coast;11856;3571;x
unnamed_location_233;west_perlean_sea;14767;3530;x
potikama;astrean_sea;12746;3544;x
east_spice_island;astrean_coast;10872;3476;x
unnamed_location_204;pearl_bay;15680;3487;x
halarah;fayu_coast;9947;3524;x
quenakerup;western_coast;7309;3523;x
pajshrit;astrean_coast;11048;3489;x
tajput;astrean_coast;11817;3532;x
bird_islands;fayu_coast;10036;3501;x
unnamed_location_223;pearl_bay;15218;3467;x
towmi;western_coast;7344;3475;x
abbotopul;astrean_coast;11666;3504;x
mulwar;astrean_coast;11747;3507;x
sarput;astrean_coast;11567;3485;x
urube;astrean_sea;12747;3457;x
mudham;fayu_coast;9921;3479;x
unnamed_location_222;pearl_bay;15083;3476;x
sheikan;astrean_coast;11550;3468;x
buqala;fayu_coast;9901;3449;x
unnamed_location_232;south_perlean_sea;14838;3419;x
raput;astrean_coast;11455;3429;x
unnamed_location_201;perlean_coast;15970;3413;x
goondijni;western_coast;7363;3427;x
kharreb;fayu_coast;9887;3413;x
ralon;astrean_sea;12706;3367;x
tarawanthin;tremor_coast;7404;3374;x
unnamed_location_224;pearl_bay;15259;3387;x
unnamed_location_203;pearl_bay;15584;3356;x
unnamed_location_225;pearl_bay;15346;3342;x
unnamed_location_231;south_perlean_sea;14867;3319;x
elveli;spiced_waters;9849;3353;x
kanotabad;waters_head;11442;3300;x
edremar;tremor_coast;7468;3347;x
mazor;tremor_coast;7509;3316;x
unnamed_location_281;west_atic_pass;2471;3330;x
hydermam;spiced_waters;9810;3297;x
unnamed_location_282;west_atic_pass;2661;3324;x
askon;astrean_sea;12655;3300;x
unnamed_location_202;south_perlean_sea;15616;3280;x
unnamed_location_283;east_atic_pass;2850;3276;x
vomar;tremor_coast;7557;3292;x
athek;astrean_sea;13055;3284;x
lonumu;astrean_sea;13133;3263;x
tridelon;astrean_sea;12591;3244;x
unnamed_location_228;south_perlean_sea;15509;3190;x
jotri;waters_head;11534;3259;x
unnamed_location_280;west_atic_pass;2254;3270;x
shard;tremor_coast;7415;3270;x
virile;tremor_coast;7595;3253;x
unnamed_location_278;fourth_sea;2052;3119;x
unnamed_location_230;south_perlean_sea;14897;3247;x
karvadja;north_char_coast;9765;3255;x
blackgate;tremor_coast;7489;3252;x
mashkan;astrean_sea;12394;3236;x
atonis;astrean_sea;12472;3228;x
qunta;astrean_sea;12978;3246;x
unnamed_location_279;fourth_sea;1918;3178;x
mgondi;astrean_sea;12930;3221;x
unnamed_location_226;south_perlean_sea;15137;3215;x
unnamed_location_229;south_perlean_sea;15298;3199;x
nizwad;north_char_coast;9748;3219;x
chodni;waters_head;11608;3203;x
isle_of_wind;waters_head;11550;3200;x
asmar;tremor_coast;7395;3206;x
mgozi;astrean_sea;12917;3191;x
ko_shamu;astrean_sea;12313;3189;x
unnamed_location_290;shallow_sea;3643;3226;x
hatmar;tremor_coast;7596;3210;x
hittas;astrean_sea;12290;3189;x
andonka;astrean_sea;13167;3207;x
tremor;tremor_coast;7517;3205;x
unnamed_location_289;shallow_sea;3462;3216;x
unnamed_location_284;east_atic_pass;2878;3203;x
sephir;tremor_coast;7339;3199;x
unnamed_location_288;east_atic_pass;3330;3200;x
unnamed_location_227;south_perlean_sea;14955;3154;x
unnamed_location_285;east_atic_pass;3028;3207;x
unnamed_location_287;east_atic_pass;3209;3207;x
thakawini;astrean_sea;13142;3193;x
kwama;astrean_sea;13189;3183;x
sarapur;north_char_coast;9718;3181;x
wrath;gulf_of_akal;7542;3148;x
marvek;tremor_coast;7312;3162;x
ulung;astrean_sea;12918;3136;x
vaunt;tremor_coast;7398;3161;x
oceans_rise;longfairn_islands;6499;3134;x
vice;gulf_of_akal;7614;3141;x
aba_pradja;north_char_coast;9687;3146;x
jar_nav_blz;waters_head;11670;3125;x
karlip;astrean_sea;12288;3157;x
tumlib;astrean_sea;12264;3106;x
udrmar;tremor_coast;7403;3126;x
unnamed_location_277;fourth_sea;2120;3101;x
unnamed_location_275;fourth_sea;1916;3127;x
empagolata;astrean_sea;13201;3100;x
zangh;spice_banks;10197;3118;x
bhagal;north_char_coast;9646;3112;x
throne;gulf_of_akal;7531;3091;x
grimhold;gulf_of_akal;7638;3087;x
gratuk;waters_head;11759;3088;x
trist;tremor_coast;7421;3088;x
ikhanango;astrean_sea;12970;3091;x
purge;gulf_of_akal;7693;3095;x
abwamu;astrean_sea;13027;3075;x
