ID,Colour,Name,Capital,Tax,Production,Manpower,"Total Dev (0 means cant colonize, but can with only 1)",Trade Good,Terrain (see https://eu4.paradoxwikis.com/Province#Terrain for types),Special (is wasteland/uncolonized/sea),Region,Religion,Culture,Fort (Level),Center of Trade Level,Owner,Cores (not including owner),Controller,"Climate (arid, arctic, tropical)","Winter (cold, normal, mild)"
1282,same,Wild Lake,,,,,,,,Lake,,,,,,,,,,
1283,same,Lake Kaneth,,,,,,,,Lake,,,,,,,,,,
1284,same,Saphire Lake,,,,,,,,Lake,,,,,,,,,,
1285,same,White Lake,,,,,,,,Lake,,,,,,,,,,
1286,same,Lake Niev,,,,,,,,Lake,,,,,,,,,,
1287,same,Fishlake,,,,,,,,Lake,,,,,,,,,,
1288,same,Molten Lake,,,,,,,,Lake,,,,,,,,,,
1289,same,Scraw Lake,,,,,,,,Lake,,,,,,,,,,
1290,same,Varalin Lake,,,,,,,,Lake,,,,,,,,,,
1291,same,Ember Lake,,,,,,,,Lake,,,,,,,,,,
1292,same,Lake Navva,,,,,,,,Lake,,,,,,,,,,
1293,same,Crescent Lake,,,,,,,,Lake,,,,,,,,,,
1294,same,Little Wolf Lake,,,,,,,,Lake,,,,,,,,,,
1295,same,Great Wolf Lake,,,,,,,,Lake,,,,,,,,,,
1296,same,Lake Itikak,,,,,,,,Lake,,,,,,,,,,
1297,same,Spring Lake,,,,,,,,Lake,,,,,,,,,,
1298,same,Lake Wouwaga,,,,,,,,Lake,,,,,,,,,,
1299,same,Heron Lake,,,,,,,,Lake,,,,,,,,,,
1300,same,Bay of Seals,,,,,,,,Sea,,,,,,,,,,
1301,same,Miqur Coast,,,,,,,,Sea,,,,,,,,,,
1302,same,Sanukit Coast,,,,,,,,Sea,,,,,,,,,,
1303,same,Cold Banks,,,,,,,,Sea,,,,,,,,,,
1304,same,North Whale Sea,,,,,,,,Sea,,,,,,,,,,
1305,same,Eastern Sea of Ooku,,,,,,,,Sea,,,,,,,,,,
1306,same,Weastern Sea of Ooku,,,,,,,,Sea,,,,,,,,,,
1307,same,Gildic Sea,,,,,,,,Sea,,,,,,,,,,
1308,same,North Fish Banks,,,,,,,,Sea,,,,,,,,,,
1309,same,South Whale Sea,,,,,,,,Sea,,,,,,,,,,
1310,same,Icewind Stretch,,,,,,,,Sea,,,,,,,,,,
1311,same,Far Sea,,,,,,,,Sea,,,,,,,,,,
1312,same,Troubled Sea,,,,,,,,Sea,,,,,,,,,,
1313,same,Whale Coast,,,,,,,,Sea,,,,,,,,,,
1314,same,South Fish Banks,,,,,,,,Sea,,,,,,,,,,
1315,same,Easerly Fish Banks,,,,,,,,Sea,,,,,,,,,,
1316,same,Gildic Coast,,,,,,,,Sea,,,,,,,,,,
1317,same,Black Coast,,,,,,,,Sea,,,,,,,,,,
1318,same,First Sea,,,,,,,,Sea,,,,,,,,,,
1319,same,North Bottean,,,,,,,,Sea,,,,,,,,,,
1320,same,North Ywekan Sea,,,,,,,,Sea,,,,,,,,,,
1321,same,Rockpoints,,,,,,,,Sea,,,,,,,,,,
1322,same,Eastern Passage,,,,,,,,Sea,,,,,,,,,,
1323,same,Ragged Sea,,,,,,,,Sea,,,,,,,,,,
1324,same,Ragged Coast,,,,,,,,Sea,,,,,,,,,,
1325,same,South Ywekan Sea,,,,,,,,Sea,,,,,,,,,,
1326,same,Ijeal's Channel,,,,,,,,Sea,,,,,,,,,,
1327,same,Cape of the Old Rock,,,,,,,,Sea,,,,,,,,,,
1328,same,Black Bay,,,,,,,,Sea,,,,,,,,,,
1329,same,Briltan Coast,,,,,,,,Sea,,,,,,,,,,
1330,same,Gull Sea,,,,,,,,Sea,,,,,,,,,,
1331,same,South Bottean,,,,,,,,Sea,,,,,,,,,,
1332,same,Bay of Botte,,,,,,,,Sea,,,,,,,,,,
1333,same,Herring Sea,,,,,,,,Sea,,,,,,,,,,
1334,same,Ralland's Water,,,,,,,,Sea,,,,,,,,,,
1335,same,Uddon Sea,,,,,,,,Sea,,,,,,,,,,
1336,same,Ywekan Strait,,,,,,,,Sea,,,,,,,,,,
1337,same,East Trader Sea,,,,,,,,Sea,,,,,,,,,,
1338,same,West Trader Sea,,,,,,,,Sea,,,,,,,,,,
1339,same,Shipwreck Banks,,,,,,,,Sea,,,,,,,,,,
1340,same,Coast of Avan,,,,,,,,Sea,,,,,,,,,,
1341,same,North Tradeshore,,,,,,,,Sea,,,,,,,,,,
1342,same,South Tradeshore,,,,,,,,Sea,,,,,,,,,,
1343,same,Seagull Cape,,,,,,,,Sea,,,,,,,,,,
1344,same,Coast of Brongs,,,,,,,,Sea,,,,,,,,,,
1345,same,Gulf of Noth,,,,,,,,Sea,,,,,,,,,,
1346,same,Mitten Coast,,,,,,,,Sea,,,,,,,,,,
1347,same,Spruce Coast,,,,,,,,Sea,,,,,,,,,,
1348,same,Seaview Cape,,,,,,,,Sea,,,,,,,,,,
1349,same,Sister's Channel,,,,,,,,Sea,,,,,,,,,,
1350,same,Sellaine Bay,,,,,,,,Sea,,,,,,,,,,
1351,same,Lorre Coast,,,,,,,,Sea,,,,,,,,,,
1352,same,Frell Strait,,,,,,,,Sea,,,,,,,,,,
1353,same,Hammer Sound,,,,,,,,Sea,,,,,,,,,,
1354,same,Coast of Dales,,,,,,,,Sea,,,,,,,,,,
1355,same,Tanne Bay,,,,,,,,Sea,,,,,,,,,,
1356,same,Coast of Yworr,,,,,,,,Sea,,,,,,,,,,
1357,same,Coast of Gales,,,,,,,,Sea,,,,,,,,,,
1358,same,Redwayne Coast,,,,,,,,Sea,,,,,,,,,,
1359,same,Itiran Coast,,,,,,,,Sea,,,,,,,,,,
1360,same,Coast of Lenatis,,,,,,,,Sea,,,,,,,,,,
1361,same,Bay of Thel,,,,,,,,Sea,,,,,,,,,,
1362,same,Narcetian Coast,,,,,,,,Sea,,,,,,,,,,
1363,same,Sascilian Coast,,,,,,,,Sea,,,,,,,,,,
1364,same,Cothonian Coast,,,,,,,,Sea,,,,,,,,,,
1365,same,Coast of Briiya,,,,,,,,Sea,,,,,,,,,,
1366,same,Maetian Delta,,,,,,,,Sea,,,,,,,,,,
1367,same,Sea of Shipwrecks,,,,,,,,Sea,,,,,,,,,,
1368,same,West Farwind Sea,,,,,,,,Sea,,,,,,,,,,
1369,same,East Farwind Sea,,,,,,,,Sea,,,,,,,,,,
1370,same,Northern Great Ocean,,,,,,,,Sea,,,,,,,,,,
1371,same,Peel Sea,,,,,,,,Sea,,,,,,,,,,
1372,same,Oot's Waters,,,,,,,,Sea,,,,,,,,,,
1373,same,Red Sand Banks,,,,,,,,Sea,,,,,,,,,,
1374,same,Calming Sea,,,,,,,,Sea,,,,,,,,,,
1375,same,Taroq Sea,,,,,,,,Sea,,,,,,,,,,
1376,same,Northern Sea of Gales,,,,,,,,Sea,,,,,,,,,,
1377,same,The Great Ocean,,,,,,,,Sea,,,,,,,,,,
1378,same,Southern Great Ocean,,,,,,,,Sea,,,,,,,,,,
1379,same,East Arman Sea,,,,,,,,Sea,,,,,,,,,,
1380,same,Capecian Sea,,,,,,,,Sea,,,,,,,,,,
1381,same,Southern Sea of Gales,,,,,,,,Sea,,,,,,,,,,
1382,same,Upper Sea of Stars,,,,,,,,Sea,,,,,,,,,,
1383,same,Lower Sea of Stars,,,,,,,,Sea,,,,,,,,,,
1384,same,Charred Sea,,,,,,,,Sea,,,,,,,,,,
1385,same,Upper Katlas,,,,,,,,Sea,,,,,,,,,,
1386,same,South Lodhar Ridge,,,,,,,,Sea,,,,,,,,,,
1387,same,Fetid Waters,,,,,,,,Sea,,,,,,,,,,
1388,same,South Iron Sea,,,,,,,,Sea,,,,,,,,,,
1389,same,Northern Sea,,,,,,,,Sea,,,,,,,,,,
1390,same,Southern Rift Sea,,,,,,,,Sea,,,,,,,,,,
1391,same,East Northern Sea,,,,,,,,Sea,,,,,,,,,,
1392,same,Isschan Sea,,,,,,,,Sea,,,,,,,,,,
1393,same,Paldan Strait,,,,,,,,Sea,,,,,,,,,,
1394,same,Ice River Bay,,,,,,,,Sea,,,,,,,,,,
1395,same,Glacier Strait,,,,,,,,Sea,,,,,,,,,,
1396,same,Tosshen Pass,,,,,,,,Sea,,,,,,,,,,
1397,same,Crystal Sea,,,,,,,,Sea,,,,,,,,,,
1398,same,Glacial Sea,,,,,,,,Sea,,,,,,,,,,
1399,same,East Briivan Sea,,,,,,,,Sea,,,,,,,,,,
1400,same,Gors Coast,,,,,,,,Sea,,,,,,,,,,
1401,same,Vehk Gully,,,,,,,,Sea,,,,,,,,,,
1402,same,West Briivan Sea,,,,,,,,Sea,,,,,,,,,,
1403,same,Tonchad Coast,,,,,,,,Sea,,,,,,,,,,
1404,same,Northern Coast,,,,,,,,Sea,,,,,,,,,,
1405,same,Black Gulf,,,,,,,,Sea,,,,,,,,,,
1406,same,Upper Black Coast,,,,,,,,Sea,,,,,,,,,,
1407,same,East Pelatic,,,,,,,,Sea,,,,,,,,,,
1408,same,Lower Black Coast,,,,,,,,Sea,,,,,,,,,,
1409,same,Azar Coast,,,,,,,,Sea,,,,,,,,,,
1410,same,Tagad Coast,,,,,,,,Sea,,,,,,,,,,
1411,same,Shield Channel,,,,,,,,Sea,,,,,,,,,,
1412,same,Tredic Coast,,,,,,,,Sea,,,,,,,,,,
1413,same,Goblin Cape,,,,,,,,Sea,,,,,,,,,,
1414,same,Orkal Straight,,,,,,,,Sea,,,,,,,,,,
1415,same,Gukar Gulf,,,,,,,,Sea,,,,,,,,,,
1416,same,Shekhaji Coast,,,,,,,,Sea,,,,,,,,,,
1417,same,Dranic Coast,,,,,,,,Sea,,,,,,,,,,
1418,same,North Dragon's Coast,,,,,,,,Sea,,,,,,,,,,
1419,same,South Dragon's Coast,,,,,,,,Sea,,,,,,,,,,
1420,same,Cape of Fire,,,,,,,,Sea,,,,,,,,,,
1421,same,Straight of Daggers,,,,,,,,Sea,,,,,,,,,,
1422,same,Bluewaters,,,,,,,,Sea,,,,,,,,,,
1423,same,Misty Sea,,,,,,,,Sea,,,,,,,,,,
1424,same,Sajental Sea,,,,,,,,Sea,,,,,,,,,,
1425,same,Sylten Coast,,,,,,,,Sea,,,,,,,,,,
1426,same,Coast of Gozma-Deii,,,,,,,,Sea,,,,,,,,,,
1427,same,Gildur Narrows,,,,,,,,Sea,,,,,,,,,,
1428,same,Doth Pass,,,,,,,,Sea,,,,,,,,,,
1429,same,Aethoin Sea,,,,,,,,Sea,,,,,,,,,,
1430,same,Anowen Sea,,,,,,,,Sea,,,,,,,,,,
1431,same,Sunrise Sea,,,,,,,,Sea,,,,,,,,,,
1432,same,Uldar Sea,,,,,,,,Sea,,,,,,,,,,
1433,same,North Lodhar Ridge,,,,,,,,Sea,,,,,,,,,,
1434,same,Sunset Sea,,,,,,,,Sea,,,,,,,,,,
1435,same,Sgaw Sea,,,,,,,,Sea,,,,,,,,,,
1436,same,Peril Sea,,,,,,,,Sea,,,,,,,,,,
1437,same,Kestern Waters,,,,,,,,Sea,,,,,,,,,,
1438,same,Cape of the Western Wind,,,,,,,,Sea,,,,,,,,,,
1439,same,Aak Coast,,,,,,,,Sea,,,,,,,,,,
1440,same,Harbour Coast,,,,,,,,Sea,,,,,,,,,,
1441,same,Upper Whale Bay,,,,,,,,Sea,,,,,,,,,,
1442,same,Lower Whale Bay,,,,,,,,Sea,,,,,,,,,,
1443,same,Broken Sea,,,,,,,,Sea,,,,,,,,,,
1444,same,Jagged Straight,,,,,,,,Sea,,,,,,,,,,
1445,same,East Broken Sea,,,,,,,,Sea,,,,,,,,,,
1446,same,West Broken Sea,,,,,,,,Sea,,,,,,,,,,
1447,same,Styre Coast,,,,,,,,Sea,,,,,,,,,,
1448,same,Little Wave Sea,,,,,,,,Sea,,,,,,,,,,
1449,same,Kawn Sea,,,,,,,,Sea,,,,,,,,,,
1450,same,Katlas Sea,,,,,,,,Sea,,,,,,,,,,
1451,same,Awk Sea,,,,,,,,Sea,,,,,,,,,,
1452,same,Kampe Banks,,,,,,,,Sea,,,,,,,,,,
1453,same,Pirecan Coast,,,,,,,,Sea,,,,,,,,,,
1454,same,Stone Bay,,,,,,,,Sea,,,,,,,,,,
1455,same,Gulf of Dragons,,,,,,,,Sea,,,,,,,,,,
1456,same,Bagda Sea,,,,,,,,Sea,,,,,,,,,,
1457,same,Hammer Coast,,,,,,,,Sea,,,,,,,,,,
1458,same,Ruined Sea,,,,,,,,Sea,,,,,,,,,,
1459,same,Treasure Depths,,,,,,,,Sea,,,,,,,,,,
1460,same,Green Swell,,,,,,,,Sea,,,,,,,,,,
1461,same,Starlit Waters,,,,,,,,Sea,,,,,,,,,,
1462,same,Outer Banks,,,,,,,,Sea,,,,,,,,,,
1463,same,Frothing Sea,,,,,,,,Sea,,,,,,,,,,
1464,same,Megdum Ridge,,,,,,,,Sea,,,,,,,,,,
1465,same,South Pelatic,,,,,,,,Sea,,,,,,,,,,
1466,same,Pelatic Sea,,,,,,,,Sea,,,,,,,,,,
1467,same,East Iron Sea,,,,,,,,Sea,,,,,,,,,,
1468,same,West Iron Sea,,,,,,,,Sea,,,,,,,,,,
1469,same,West Pelatic,,,,,,,,Sea,,,,,,,,,,
1470,same,East Panorian Coast,,,,,,,,Sea,,,,,,,,,,
1471,same,South Panorian Sea,,,,,,,,Sea,,,,,,,,,,
1472,same,East Frozen Ocean,,,,,,,,Sea,,,,,,,,,,
1473,same,Kelp Sea,,,,,,,,Sea,,,,,,,,,,
1474,same,Katlas Reaches,,,,,,,,Sea,,,,,,,,,,
1475,same,Drowned Reef,,,,,,,,Sea,,,,,,,,,,
1476,same,Crippled Hand Banks,,,,,,,,Sea,,,,,,,,,,
1477,same,Widow's Straight,,,,,,,,Sea,,,,,,,,,,
1478,same,South Bluethorn Sea,,,,,,,,Sea,,,,,,,,,,
1479,same,Aval Reef,,,,,,,,Sea,,,,,,,,,,
1480,same,Itholan Coast,,,,,,,,Sea,,,,,,,,,,
1481,same,Sea of Songs,,,,,,,,Sea,,,,,,,,,,
1482,same,Lion's Coast,,,,,,,,Sea,,,,,,,,,,
1483,same,Western Spice Gulf,,,,,,,,Sea,,,,,,,,,,
1484,same,Eastern Spice Gulf,,,,,,,,Sea,,,,,,,,,,
1485,same,Bahdakuri Sea,,,,,,,,Sea,,,,,,,,,,
1486,same,Sweltering Sea,,,,,,,,Sea,,,,,,,,,,
1487,same,Spice Banks,,,,,,,,Sea,,,,,,,,,,
1488,same,Slaver's Bay,,,,,,,,Sea,,,,,,,,,,
1489,same,Redcrab Sea,,,,,,,,Sea,,,,,,,,,,
1490,same,Salt Sea,,,,,,,,Sea,,,,,,,,,,
1491,same,Water's Head,,,,,,,,Sea,,,,,,,,,,
1492,same,Rainbow Reefs,,,,,,,,Sea,,,,,,,,,,
1493,same,Astrean Sea,,,,,,,,Sea,,,,,,,,,,
1494,same,Western Endless Ocean,,,,,,,,Sea,,,,,,,,,,
1495,same,Endless Ocean,,,,,,,,Sea,,,,,,,,,,
1496,same,Pearl Bay,,,,,,,,Sea,,,,,,,,,,
1497,same,Perlean Coast,,,,,,,,Sea,,,,,,,,,,
1498,same,South Perlean Sea,,,,,,,,Sea,,,,,,,,,,
1499,same,West Perlean Sea,,,,,,,,Sea,,,,,,,,,,
1500,same,North Perlean Sea,,,,,,,,Sea,,,,,,,,,,
1501,same,Lagana Straight,,,,,,,,Sea,,,,,,,,,,
1502,same,Southern Letic,,,,,,,,Sea,,,,,,,,,,
1503,same,Letic,,,,,,,,Sea,,,,,,,,,,
1504,same,Northern Letic,,,,,,,,Sea,,,,,,,,,,
1505,same,Pale Banks,,,,,,,,Sea,,,,,,,,,,
1506,same,Vul Coast,,,,,,,,Sea,,,,,,,,,,
1507,same,Southpoint Ridge,,,,,,,,Sea,,,,,,,,,,
1508,same,Western Letic,,,,,,,,Sea,,,,,,,,,,
1509,same,Chain Banks,,,,,,,,Sea,,,,,,,,,,
1510,same,Upper Trenches,,,,,,,,Sea,,,,,,,,,,
1511,same,Lower Trenches,,,,,,,,Sea,,,,,,,,,,
1512,same,Southern Thark Coast,,,,,,,,Sea,,,,,,,,,,
1513,same,Northern Thark Coast,,,,,,,,Sea,,,,,,,,,,
1514,same,Icewind Waters,,,,,,,,Sea,,,,,,,,,,
1515,same,Northeast Emean Shore,,,,,,,,Sea,,,,,,,,,,
1516,same,Battered Coast,,,,,,,,Sea,,,,,,,,,,
1517,same,Windreef Banks,,,,,,,,Sea,,,,,,,,,,
1518,same,Western Emean Coast,,,,,,,,Sea,,,,,,,,,,
1519,same,Cape of Recompense,,,,,,,,Sea,,,,,,,,,,
1520,same,Ninth Bay,,,,,,,,Sea,,,,,,,,,,
1521,same,Emean Gulf,,,,,,,,Sea,,,,,,,,,,
1522,same,Monkey Shores,,,,,,,,Sea,,,,,,,,,,
1523,same,South Emean Coast,,,,,,,,Sea,,,,,,,,,,
1524,same,Otic Reefs,,,,,,,,Sea,,,,,,,,,,
1525,same,South Palatial Coast,,,,,,,,Sea,,,,,,,,,,
1526,same,North Palatial Coast,,,,,,,,Sea,,,,,,,,,,
1527,same,Lower Mountain Coast,,,,,,,,Sea,,,,,,,,,,
1528,same,Silent Current,,,,,,,,Sea,,,,,,,,,,
1529,same,Mountain Coast,,,,,,,,Sea,,,,,,,,,,
1530,same,Upper Mountain Coast,,,,,,,,Sea,,,,,,,,,,
1531,same,Northwest Emean Shore,,,,,,,,Sea,,,,,,,,,,
1532,same,Northeastern Great Ocean,,,,,,,,Sea,,,,,,,,,,
1533,same,Southeastern Great Ocean,,,,,,,,Sea,,,,,,,,,,
1534,same,Astrean Coast,,,,,,,,Sea,,,,,,,,,,
1535,same,North Astrean Sea,,,,,,,,Sea,,,,,,,,,,
1536,same,Southern Still Sea,,,,,,,,Sea,,,,,,,,,,
1537,same,Still Sea,,,,,,,,Sea,,,,,,,,,,
1538,same,Northern Still Sea,,,,,,,,Sea,,,,,,,,,,
1539,same,Kazen Rift,,,,,,,,Sea,,,,,,,,,,
1540,same,West Waterdunes,,,,,,,,Sea,,,,,,,,,,
1541,same,East Waterdunes,,,,,,,,Sea,,,,,,,,,,
1542,same,North Green Sea,,,,,,,,Sea,,,,,,,,,,
1543,same,South Green Sea,,,,,,,,Sea,,,,,,,,,,
1544,same,Dremor Sea,,,,,,,,Sea,,,,,,,,,,
1545,same,Catul Sea,,,,,,,,Sea,,,,,,,,,,
1546,same,Ashar Sea,,,,,,,,Sea,,,,,,,,,,
1547,same,Fosha'if Coast,,,,,,,,Sea,,,,,,,,,,
1548,same,Sea of Bones,,,,,,,,Sea,,,,,,,,,,
1549,same,Deep Ocean,,,,,,,,Sea,,,,,,,,,,
1550,same,Longfairn Islands,,,,,,,,Sea,,,,,,,,,,
1551,same,Gonlar Straight,,,,,,,,Sea,,,,,,,,,,
1552,same,Null Sea,,,,,,,,Sea,,,,,,,,,,
1553,same,Unknown Depths,,,,,,,,Sea,,,,,,,,,,
1554,same,South Mayn,,,,,,,,Sea,,,,,,,,,,
1555,same,Lower Mayn,,,,,,,,Sea,,,,,,,,,,
1556,same,Mayn Ocean,,,,,,,,Sea,,,,,,,,,,
1557,same,Upper Mayn,,,,,,,,Sea,,,,,,,,,,
1558,same,North Mayn,,,,,,,,Sea,,,,,,,,,,
1559,same,Sea of Snow,,,,,,,,Sea,,,,,,,,,,
1560,same,Cape of Sorrow,,,,,,,,Sea,,,,,,,,,,
1561,same,Bleak Bay,,,,,,,,Sea,,,,,,,,,,
1562,same,Coldwater,,,,,,,,Sea,,,,,,,,,,
1563,same,Wet Expanse,,,,,,,,Sea,,,,,,,,,,
1564,same,West Panorian Coast,,,,,,,,Sea,,,,,,,,,,
1565,same,West Frozen Ocean,,,,,,,,Sea,,,,,,,,,,
1566,same,Lost Sea,,,,,,,,Sea,,,,,,,,,,
1567,same,Northern Lure,,,,,,,,Sea,,,,,,,,,,
1568,same,Lure Ocean,,,,,,,,Sea,,,,,,,,,,
1569,same,Southeastern Lure,,,,,,,,Sea,,,,,,,,,,
1570,same,Southwestern Lure,,,,,,,,Sea,,,,,,,,,,
1571,same,East Aten Coast,,,,,,,,Sea,,,,,,,,,,
1572,same,East Atic Pass,,,,,,,,Sea,,,,,,,,,,
1573,same,Shallow Sea,,,,,,,,Sea,,,,,,,,,,
1574,same,West Atic Pass,,,,,,,,Sea,,,,,,,,,,
1575,same,Fourth Sea,,,,,,,,Sea,,,,,,,,,,
1576,same,Giant Bay,,,,,,,,Sea,,,,,,,,,,
1577,same,Shelled Banks,,,,,,,,Sea,,,,,,,,,,
1578,same,Coral Sea,,,,,,,,Sea,,,,,,,,,,
1579,same,West Menean Coast,,,,,,,,Sea,,,,,,,,,,
1580,same,Cod Seas,,,,,,,,Sea,,,,,,,,,,
1581,same,Tyrant's Sea,,,,,,,,Sea,,,,,,,,,,
1582,same,First Gulf,,,,,,,,Sea,,,,,,,,,,
1583,same,Vast Waters,,,,,,,,Sea,,,,,,,,,,
1584,same,Coral Trenches,,,,,,,,Sea,,,,,,,,,,
1585,same,Northwest Lure,,,,,,,,Sea,,,,,,,,,,
1586,same,West Lure,,,,,,,,Sea,,,,,,,,,,
1587,same,Bay of the Last,,,,,,,,Sea,,,,,,,,,,
1588,same,East Menean Coast,,,,,,,,Sea,,,,,,,,,,
1589,same,South Spire Coast,,,,,,,,Sea,,,,,,,,,,
1590,same,North Spire Coast,,,,,,,,Sea,,,,,,,,,,
1591,same,North Arman Sea,,,,,,,,Sea,,,,,,,,,,
1592,same,Arman Coast,,,,,,,,Sea,,,,,,,,,,
1593,same,Lion's Mouth,,,,,,,,Sea,,,,,,,,,,
1594,same,South Arman Coast,,,,,,,,Sea,,,,,,,,,,
1595,same,Atwan Sandbanks,,,,,,,,Sea,,,,,,,,,,
1596,same,Karu Bay,,,,,,,,Sea,,,,,,,,,,
1597,same,Bahdak Bay,,,,,,,,Sea,,,,,,,,,,
1598,same,South Bahdakuri Sea,,,,,,,,Sea,,,,,,,,,,
1599,same,Sahidan Shores,,,,,,,,Sea,,,,,,,,,,
1600,same,Dinar Coast,,,,,,,,Sea,,,,,,,,,,
1601,same,West Deep,,,,,,,,Sea,,,,,,,,,,
1602,same,Jhistal Coast,,,,,,,,Sea,,,,,,,,,,
1603,same,Cape of Good Fortune,,,,,,,,Sea,,,,,,,,,,
1604,same,Akavor Coast,,,,,,,,Sea,,,,,,,,,,
1605,same,East Deep,,,,,,,,Sea,,,,,,,,,,
1606,same,Upper Hran Coast,,,,,,,,Sea,,,,,,,,,,
1607,same,West Sugar Coast,,,,,,,,Sea,,,,,,,,,,
1608,same,Lower Hran Coast,,,,,,,,Sea,,,,,,,,,,
1609,same,Fayu Coast,,,,,,,,Sea,,,,,,,,,,
1610,same,Spiced Waters,,,,,,,,Sea,,,,,,,,,,
1611,same,North Char Coast,,,,,,,,Sea,,,,,,,,,,
1612,same,South Char Coast,,,,,,,,Sea,,,,,,,,,,
1613,same,Moon Bay,,,,,,,,Sea,,,,,,,,,,
1614,same,Whale Banks,,,,,,,,Sea,,,,,,,,,,
1615,same,Blacksand Gulf,,,,,,,,Sea,,,,,,,,,,
1616,same,East Sugar Coast,,,,,,,,Sea,,,,,,,,,,
1617,same,Slavers' Shore,,,,,,,,Sea,,,,,,,,,,
1618,same,Theban Coast,,,,,,,,Sea,,,,,,,,,,
1619,same,Hyet Cape,,,,,,,,Sea,,,,,,,,,,
1620,same,Coast of Ak,,,,,,,,Sea,,,,,,,,,,
1621,same,Marsh Banks,,,,,,,,Sea,,,,,,,,,,
1622,same,Swirling Sea,,,,,,,,Sea,,,,,,,,,,
1623,same,West Salt Sea,,,,,,,,Sea,,,,,,,,,,
1624,same,Calm Waters,,,,,,,,Sea,,,,,,,,,,
1625,same,Celayphean Sea,,,,,,,,Sea,,,,,,,,,,
1626,same,Matrean Coast,,,,,,,,Sea,,,,,,,,,,
1627,same,Xitcon Sea,,,,,,,,Sea,,,,,,,,,,
1628,same,Adventurer's Coast,,,,,,,,Sea,,,,,,,,,,
1629,same,Horse Bay,,,,,,,,Sea,,,,,,,,,,
1630,same,Sea of the Landings,,,,,,,,Sea,,,,,,,,,,
1631,same,Thumb Sea,,,,,,,,Sea,,,,,,,,,,
1632,same,Flower Reefs,,,,,,,,Sea,,,,,,,,,,
1633,same,North Bluethorn Sea,,,,,,,,Sea,,,,,,,,,,
1634,same,Feteoalan Sea,,,,,,,,Sea,,,,,,,,,,
1635,same,The Blue Abyss,,,,,,,,Sea,,,,,,,,,,
1636,same,Middle Finger Sea,,,,,,,,Sea,,,,,,,,,,
1637,same,Hand Coast,,,,,,,,Sea,,,,,,,,,,
1638,same,Tremor Coast,,,,,,,,Sea,,,,,,,,,,
1639,same,Handan Coast,,,,,,,,Sea,,,,,,,,,,
1640,same,Grey Sea,,,,,,,,Sea,,,,,,,,,,
1641,same,Western Coast,,,,,,,,Sea,,,,,,,,,,
1642,same,Gulf of Akal,,,,,,,,Sea,,,,,,,,,,
1643,same,Bay of Fuad,,,,,,,,Sea,,,,,,,,,,
1644,,,,,,,,,,,,,,,,,,,,
1645,,,,,,,,,,,,,,,,,,,,
1646,,,,,,,,,,,,,,,,,,,,
1647,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,
1656,,,,,,,,,,,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,,,,
1658,,,,,,,,,,,,,,,,,,,,
1659,,,,,,,,,,,,,,,,,,,,
1660,,,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,,,,,,,
1663,,,,,,,,,,,,,,,,,,,,
1664,,,,,,,,,,,,,,,,,,,,
1665,,,,,,,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,,,,,,,
1668,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,
1670,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,,,,,,,,,,,,,
1672,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,
1679,,,,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,
1681,,,,,,,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,,,,,,,
1683,,,,,,,,,,,,,,,,,,,,
1684,,,,,,,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,,,,,,,
1686,,,,,,,,,,,,,,,,,,,,
1687,,,,,,,,,,,,,,,,,,,,
1688,,,,,,,,,,,,,,,,,,,,
1689,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,
1691,,,,,,,,,,,,,,,,,,,,
1692,,,,,,,,,,,,,,,,,,,,
1693,,,,,,,,,,,,,,,,,,,,
1694,,,,,,,,,,,,,,,,,,,,
1695,,,,,,,,,,,,,,,,,,,,
1696,,,,,,,,,,,,,,,,,,,,
1697,,,,,,,,,,,,,,,,,,,,
1698,,,,,,,,,,,,,,,,,,,,
1699,,,,,,,,,,,,,,,,,,,,
1700,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,,,,,,,,,,,,
1702,,,,,,,,,,,,,,,,,,,,
1703,,,,,,,,,,,,,,,,,,,,
